function,function_offset,operation,width_bits,address_expression,indexed
mac_tx_set_plcp0,0x95,write,32,0x60033d08 + 4294967288*(mem8[0x00000004 + 1*(a2@0x40080092)]),True
mac_tx_set_duration,0x30,write,32,0x60034318 + 1*(a10@0x400800ef),True
hal_mac_tx_config_timeout,0x17,read,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801b0)]),True
hal_mac_tx_config_timeout,0x25,write,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801b0)]),True
hal_mac_tx_config_edca,0x15,read,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801e8)]),True
hal_mac_tx_config_edca,0x29,write,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801e8)]),True
hal_mac_tx_config_edca,0x3a,read,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801e8)]),True
hal_mac_tx_config_edca,0x4e,write,32,0x60033d04 + 4294967288*(mem8[0x00000004 + 1*(a2@0x400801e8)]),True
hal_mac_txq_enable,0x12,read,32,0x60033d08 + 4294967288*(a2@0x4008024a),True
hal_mac_txq_enable,0x1d,write,32,0x60033d08 + 4294967288*(a2@0x4008024a),True
hal_mac_txq_disable,0x12,read,32,0x60033d08 + 4294967288*(a2@0x40080276),True
hal_mac_txq_disable,0x1d,write,32,0x60033d08 + 4294967288*(a2@0x40080276),True
hal_mac_tx_get_blockack,0x14,read,32,0x60034334 + 1*(a2@0x400802a9),True
hal_mac_tx_get_blockack,0x1f,read,32,0x60034334 + 1*(a2@0x400802a9),True
hal_mac_tx_get_blockack,0x2f,read,32,0x60034328 + 1*(a2@0x400802a9),True
hal_mac_tx_get_blockack,0x3b,read,32,0x60034324 + 1*(a2@0x400802a9),True
hal_mac_set_txq_invalid,0x12,read,32,0x60033d08 + 4294967288*(a2@0x400802f2),True
hal_mac_set_txq_invalid,0x1d,write,32,0x60033d08 + 4294967288*(a2@0x400802f2),True
hal_mac_is_txq_valid,0x12,read,32,0x60033d08 + 4294967288*(a2@0x4008031a),True
